name,country,category,language,status,code,latencyMs,httpStatus,urlHost,urlHash,checkedAt
"7plus Sport","AU","Public Sports","English","ok","OK","921","200","7plus.com.au","37b220772ea5056f","2026-09-11T02:37:19.741Z"
"A Bola","PT","Public Sports","Portuguese","ok","OK","535","200","www.abola.pt","6c57b6faedceb6ad","2026-09-11T02:37:15.135Z"
"ABC Sport","AU","Public Sports","English","ok","OK","757","200","www.abc.net.au","f6f4d8cb6a4ad20e","2026-09-11T02:37:16.365Z"
"ABEMA","JP","World Cup 2026","Japanese","ok","OK","519","200","abema.tv","8b03f50fb884fe1f","2026-09-11T02:36:34.393Z"
"ABEMA Sports","JP","Public Sports","Japanese","ok","OK","782","200","abema.tv","8b03f50fb884fe1f","2026-09-11T02:37:19.744Z"
"Abu Dhabi Sports","AE","World Cup 2026","Arabic","ok","OK","1354","200","adsports.ae","9bdae847ee5caea7","2026-09-11T02:36:04.871Z"
"ADN Deportes","CL","Public Sports","Spanish","ok","OK","1497","200","www.adnradio.cl","9ee570196edf6b73","2026-09-11T02:37:23.108Z"
"Al Kass","QA","World Cup 2026","Arabic","ok","OK","25","200","www.alkass.net","2d46a1776b244e16","2026-09-11T02:36:43.125Z"
"Al Kass Sports","QA","Public Sports","Arabic","ok","OK","104","200","www.alkass.net","2d46a1776b244e16","2026-09-11T02:37:31.609Z"
"América Televisión","PE","World Cup 2026","Spanish","ok","OK","382","200","www.americatv.com.pe","2f61182d7ac999c4","2026-09-11T02:36:40.508Z"
"ARD / Das Erste","DE","World Cup 2026","German","ok","OK","1272","200","www.daserste.de","e5c799e5f688fead","2026-09-11T02:36:16.162Z"
"Arriyadiyah","SA","Public Sports","Arabic","ok","OK","255","200","www.arriyadiyah.com","a5eb726cfe6823de","2026-09-11T02:37:31.611Z"
"Astro Arena","MY","Public Sports","Malay","ok","OK","206","200","www.astro.com.my","ddb2d275b54a0b8e","2026-09-11T02:37:33.968Z"
"BBC","GB","World Cup 2026","English","ok","OK","80","200","www.bbc.co.uk","e84b53d2d4fd2f0d","2026-09-11T02:36:20.387Z"
"BBC iPlayer","GB","World Cup 2026","English","ok","OK","295","200","www.bbc.co.uk","7303f92e052d81de","2026-09-11T02:36:20.388Z"
"BBC Sport","GB","Public Sports","English","ok","OK","49","200","www.bbc.co.uk","35dc55f47c8aaa87","2026-09-11T02:37:04.600Z"
"beIN SPORTS France","FR","World Cup 2026","French","ok","OK","535","200","www.beinsports.com","6199011f27a414f1","2026-09-11T02:36:17.530Z"
"BILD Sport","DE","Public Sports","German","ok","OK","404","200","sportbild.bild.de","d2d1b319c351294a","2026-09-11T02:37:13.236Z"
"Bleacher Report","US","Public Sports","English","ok","OK","77","200","bleacherreport.com","0ec6ce6edf4cdbb4","2026-09-11T02:36:59.470Z"
"BNT","BG","World Cup 2026","Bulgarian","ok","OK","1934","200","bnt.bg","3a93aed7fbd83544","2026-09-11T02:36:07.012Z"
"Caracol TV","CO","World Cup 2026","Spanish","ok","OK","84","200","www.caracoltv.com","7ee3f3b8ee8d8756","2026-09-11T02:36:16.160Z"
