name,country,category,language,status,code,latencyMs,httpStatus,urlHost,urlHash,checkedAt
"7plus Sport","AU","Public Sports","English","ok","OK","972","200","7plus.com.au","37b220772ea5056f","2026-06-24T10:45:20.575Z"
"A Bola","PT","Public Sports","Portuguese","ok","OK","550","200","www.abola.pt","6c57b6faedceb6ad","2026-06-24T10:45:15.586Z"
"ABC Sport","AU","Public Sports","English","ok","OK","1156","200","www.abc.net.au","f6f4d8cb6a4ad20e","2026-06-24T10:45:16.951Z"
"ABEMA Sports","JP","Public Sports","Japanese","ok","OK","581","200","abema.tv","8b03f50fb884fe1f","2026-06-24T10:45:22.644Z"
"Abu Dhabi Sports","AE","Public Sports","Arabic","ok","OK","839","200","adsports.ae","9bdae847ee5caea7","2026-06-24T10:45:34.281Z"
"ADN Deportes","CL","Public Sports","Spanish","ok","OK","521","200","www.adnradio.cl","9ee570196edf6b73","2026-06-24T10:45:31.737Z"
"Al Kass Sports","QA","Public Sports","Arabic","ok","OK","1610","200","www.alkass.net","2d46a1776b244e16","2026-06-24T10:45:34.280Z"
"Arriyadiyah","SA","Public Sports","Arabic","ok","OK","948","200","www.arriyadiyah.com","a5eb726cfe6823de","2026-06-24T10:45:34.282Z"
"Astro Arena","MY","Public Sports","Malay","ok","OK","1268","200","www.astro.com.my","ddb2d275b54a0b8e","2026-06-24T10:45:35.894Z"
"BBC Sport","GB","Public Sports","English","ok","OK","351","200","www.bbc.co.uk","35dc55f47c8aaa87","2026-06-24T10:45:03.198Z"
"beIN SPORTS France","FR","Public Sports","French","ok","OK","2290","200","www.beinsports.com","6199011f27a414f1","2026-06-24T10:45:11.061Z"
"beIN SPORTS MENA","QA","Public Sports","Arabic","ok","OK","891","200","www.beinsports.com","c454c9dfd2d12c24","2026-06-24T10:45:34.280Z"
"BILD Sport","DE","Public Sports","German","ok","OK","1480","200","sportbild.bild.de","d2d1b319c351294a","2026-06-24T10:45:11.064Z"
"Bleacher Report","US","Public Sports","English","ok","OK","1851","200","bleacherreport.com","0ec6ce6edf4cdbb4","2026-06-24T10:45:01.343Z"
"CBC Sports","CA","Public Sports","English","ok","OK","244","200","www.cbc.ca","d7959c9d370624a2","2026-06-24T10:45:03.194Z"
"CBS Sports","US","Public Sports","English","ok","OK","1960","200","www.cbssports.com","b2c475bd03d78c1c","2026-06-24T10:44:54.347Z"
"Channel 4 Sport","GB","Public Sports","English","ok","OK","493","200","www.channel4.com","3bc05b5ef333cc60","2026-06-24T10:45:10.199Z"
"CNA Sport","SG","Public Sports","English","ok","OK","1193","200","www.channelnewsasia.com","dacb53a5e490f536","2026-06-24T10:45:35.893Z"
"CTV","CA","World Cup 2026","English","ok","OK","457","200","www.ctv.ca","6ca42fdebecafbb9","2026-06-24T10:44:53.663Z"
"DD Sports","IN","Public Sports","Hindi","ok","OK","1927","200","prasarbharati.gov.in","99ad940f7c250310","2026-06-24T10:45:22.649Z"
"detikSport","ID","Public Sports","Indonesian","ok","OK","1383","200","sport.detik.com","5d3b52708edd8837","2026-06-24T10:45:38.688Z"
"DR Sporten","DK","Public Sports","Danish","ok","OK","1303","200","www.dr.dk","a3c33d5736869e17","2026-06-24T10:45:32.750Z"
"Dubai Sports","AE","Public Sports","Arabic","ok","OK","887","200","www.dubaisports.ae","e25b3d134d62174d","2026-06-24T10:45:34.281Z"
"ESPN","US","Public Sports","English","ok","OK","166","202","www.espn.com","de94e4ace69de6fc","2026-06-24T10:44:54.346Z"
"ESPN Argentina","AR","Public Sports","Spanish","ok","OK","1182","202","www.espn.com.ar","20b19f51513bc7bc","2026-06-24T10:45:24.739Z"
"ESPN Brasil","BR","Public Sports","Portuguese","ok","OK","213","202","www.espn.com.br","b8cceae0c73faeaf","2026-06-24T10:45:24.734Z"
"ESPN Netherlands","NL","Public Sports","Dutch","ok","OK","914","202","www.espn.nl","28e116c755c4ef51","2026-06-24T10:45:15.588Z"
"FOX","US","World Cup 2026","English","ok","OK","170","200","www.foxsports.com","393c63452e4fc775","2026-06-24T10:44:53.628Z"
"FOX Sports","US","Public Sports","English","ok","OK","142","200","www.foxsports.com","393c63452e4fc775","2026-06-24T10:44:54.346Z"
"FOX Sports Australia","AU","Public Sports","English","ok","OK","2067","200","www.foxsports.com.au","447a5c9ce9c7c15a","2026-06-24T10:45:20.577Z"
"France TV Sport","FR","Public Sports","French","ok","OK","690","200","www.france.tv","2b08801ae2dd06a2","2026-06-24T10:45:10.201Z"
"FS1","US","World Cup 2026","English","ok","OK","135","200","www.foxsports.com","393c63452e4fc775","2026-06-24T10:44:53.660Z"
"ge.globo","BR","Public Sports","Portuguese","ok","OK","2009","200","ge.globo.com","3de944ab83654dc5","2026-06-24T10:45:24.735Z"
"GMA Sports","PH","Public Sports","English","ok","OK","2335","200","www.gmanetwork.com","f798e526bdac8d69","2026-06-24T10:45:38.690Z"
"J SPORTS","JP","Public Sports","Japanese","ok","OK","1606","200","www.jsports.co.jp","b02191cbed81d576","2026-06-24T10:45:20.580Z"
"JioCinema Sports","IN","Public Sports","English","ok","OK","510","200","www.jiocinema.com","6b2d54aae2af0f23","2026-06-24T10:45:22.648Z"
"KBS Sports","KR","Public Sports","Korean","ok","OK","753","200","sports.kbs.co.kr","e9f119f97fafc73f","2026-06-24T10:45:22.646Z"
"L Equipe","FR","Public Sports","French","ok","OK","512","200","www.lequipe.fr","b91663968fdcc602","2026-06-24T10:45:10.202Z"
"La Gazzetta dello Sport","IT","Public Sports","Italian","ok","OK","1220","200","www.gazzetta.it","1fba8d6c173e7761","2026-06-24T10:45:13.354Z"
"MARCA","ES","Public Sports","Spanish","ok","OK","1299","200","www.marca.com","050bdbdf23061651","2026-06-24T10:45:11.065Z"
"MARCA Mexico","MX","Public Sports","Spanish","ok","OK","383","200","www.marca.com","684b56a0320f437b","2026-06-24T10:45:03.197Z"
"Mediotiempo","MX","Public Sports","Spanish","ok","OK","278","200","www.mediotiempo.com","c0fb83987f272408","2026-06-24T10:45:03.197Z"
"meWATCH Sport","SG","Public Sports","English","ok","OK","1951","200","www.mewatch.sg","ff2a5337de15902e","2026-06-24T10:45:35.894Z"
